"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2, C3, C4, C5, C7, C9, C14, C16, C18, C19, C20, C23";"C_0805_2012Metric";13;"100n";;;
2;"C6, C13, C15";"C_0805_2012Metric";3;"10u";;;
3;"C8, C21, C22";"C_0805_2012Metric";3;"1u";;;
4;"C10, C11";"C_0805_2012Metric";2;"22p";;;
5;"C12";"C_0805_2012Metric";1;"4u7";;;
6;"C17";"C_0805_2012Metric";1;"220n";;;
7;"C24";"C_0805_2012Metric";1;"2u2";;;
8;"C25";"C_0805_2012Metric";1;"22u";;;
9;"C26";"C_0402_1005Metric";1;"10n";;;
10;"C27";"C_0402_1005Metric";1;"1n";;;
11;"C28";"C_0402_1005Metric";1;"2n2";;;
12;"C29";"C_0402_1005Metric";1;"33n";;;
13;"C30, C31";"C_0402_1005Metric";2;"22p";;;
14;"D1";"LED_0805_2012Metric";1;"USER";;;
15;"D2";"LED_0805_2012Metric";1;"STAT1";;;
16;"D3";"LED_0805_2012Metric";1;"STAT2";;;
17;"D4";"LED_0805_2012Metric";1;"PWR";;;
18;"D5";"LED_0805_2012Metric";1;"RED";;;
19;"FB1";"R_0805_2012Metric";1;"MPZ2012S601AT000";;;
20;"FL1";"FIL_2450BM14A0002T";1;"2450BM14A0002T";;;
21;"J1";"JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal";1;"ESC";;;
22;"J2";"PinHeader_2x03_P2.54mm_Vertical";1;"Debug";;;
23;"J3, J4";"JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal";2;"PWR";;;
24;"J5";"JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal";1;"IMU";;;
25;"J6";"JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal";1;"SPI1_IMU";;;
26;"J7";"JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal";1;"BAR";;;
27;"J8";"JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal";1;"SPI1_BAR";;;
28;"J9";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"MAG";;;
29;"J10";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"SPI2";;;
30;"J11";"JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal";1;"GPS";;;
31;"J12";"JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal";1;"UART1";;;
32;"J13";"HRS_UFL_R_SMT";1;"U.FL_R_SMT";;;
33;"J14";"EDAC_690-005-299-043";1;"USB_B_Mini";;;
34;"J15";"RFSOLUTIONS_CON-SMA-EDGE-S";1;"CON-SMA-EDGE-S";;;
35;"L1";"L_0805_2012Metric";1;"47n";;;
36;"L2";"L_0805_2012Metric";1;"15u";;;
37;"R1";"R_0805_2012Metric";1;"10k";;;
38;"R2, R3, R4, R7";"R_0805_2012Metric";4;"1k5";;;
39;"R5, R11";"R_0805_2012Metric";2;"1k";;;
40;"R6";"R_0805_2012Metric";1;"R_US";;;
41;"R8";"R_0805_2012Metric";1;"88k7";;;
42;"R9";"R_0805_2012Metric";1;"22k1";;;
43;"R10";"R_0805_2012Metric";1;"5k";;;
44;"R12";"R_0402_1005Metric";1;"22k";;;
45;"R13";"R_0402_1005Metric";1;"1M";;;
46;"SW1";"SW_SPST_TL3305A";1;"NRST";;;
47;"SW2";"SW_SPDT_PCM12";1;"BOOT0";;;
48;"SW3";"SW_SPDT_PCM12";1;"VSEL";;;
49;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32F446RCTx";;;
50;"U2";"IIS2MDCTR";1;"IIS2MDCTR";;;
51;"U3";"ATGM336H";1;"ATGM336H";;;
52;"U4";"LSM6DS3TR";1;"LSM6DS3TR-C";;;
53;"U5";"ST_HLGA-10_2.5x2.5mm_P0.6mm_LayoutBorder3x2y";1;"LPS25HB";;;
54;"U6";"SOT-23-5";1;"AP2112K-3.3";;;
55;"U7";"SOT-23-6";1;"LMR50410";;;
56;"U8";"SOT-723";1;"~";;;
57;"U9";"QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm";1;"nRF24L01P";;;
58;"Y1";"XTAL_ABM3-16.000MHZ-D2Y-T";1;"8MHz";;;
59;"Y2";"XTAL_ABM8AIG-16.000MHZ-12-2Z-T3";1;"16MHz";;;
