"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2, C7, C8, C12, C19, C20";"C_0805_2012Metric";7;"100n";;;
2;"C3, C4, C11";"C_0805_2012Metric";3;"1u";;;
3;"C5, C6, C9";"C_0805_2012Metric";3;"10u";;;
4;"C10";"C_0805_2012Metric";1;"10n";;;
5;"C13";"C_0402_1005Metric";1;"10n";;;
6;"C14";"C_0402_1005Metric";1;"1n";;;
7;"C15";"C_0402_1005Metric";1;"2n2";;;
8;"C16";"C_0402_1005Metric";1;"33n";;;
9;"C17, C18";"C_0402_1005Metric";2;"22p";;;
10;"D1";"LED_0805_2012Metric";1;"RED";;;
11;"D2, D3";"DO-219AD_VIS";2;"MSP3V3";;;
12;"D4";"LED_0805_2012Metric";1;"FULL";;;
13;"D5";"LED_0805_2012Metric";1;"CHARGING";;;
14;"D6";"LED_0805_2012Metric";1;"GREEN";;;
15;"FB1";"R_0805_2012Metric";1;"MPZ2012S601AT000";;;
16;"FL1";"FIL_2450BM14A0002T";1;"2450BM14A0002T";;;
17;"J1";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"VBAT";;;
18;"J2";"EDAC_690-005-299-043";1;"USB_B_Mini";;;
19;"J3";"PinHeader_1x06_P2.54mm_Vertical";1;"SWD";;;
20;"J4";"RFSOLUTIONS_CON-SMA-EDGE-S";1;"CON-SMA-EDGE-S";;;
21;"R1, R2, R5, R6, R9";"R_0805_2012Metric";5;"1k5";;;
22;"R3, R4";"R_0805_2012Metric";2;"50k";;;
23;"R7";"R_0805_2012Metric";1;"6k";;;
24;"R8";"R_0805_2012Metric";1;"10K";;;
25;"R10";"R_0402_1005Metric";1;"22k";;;
26;"R11, R12, R13, R15, R16";"R_0805_2012Metric";5;"10k";;;
27;"R14";"R_0402_1005Metric";1;"1M";;;
28;"S1";"XDCR_PEC11R-4220F-S0024";1;"PEC11R-4220F-S0024";;;
29;"SW1";"SW_SPDT_PCM12";1;"ON/OFF";;;
30;"SW2";"SW_SPST_TL3305A";1;"NRST";;;
31;"SW3";"SW_SPDT_PCM12";1;"BOOT0";;;
32;"U1";"SOT-23-5";1;"AP2112K-3.3";;;
33;"U2";"TPS2115A-TSSOP-8";1;"TPS2115";;;
34;"U3";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm";1;"TP4056-42-ESOP8";;;
35;"U4";"QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm";1;"STM32L432KCUx";;;
36;"U5";"PinHeader_1x04_P2.54mm_Vertical";1;"~";;;
37;"U6";"QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm";1;"nRF24L01P";;;
38;"U7, U8";"PS5_Joystick";2;"PS5";;;
39;"Y1";"XTAL_ABM8AIG-16.000MHZ-12-2Z-T3";1;"16MHz";;;
